id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;signed_mu;signed_coherence;session;id_session;s;sign_s
18cl01;2;13;0;0;1;motion;-1;0.7772;NA;NA;NA;340126.3142;340126.6712;0;1;0.2812;18;1;NA;-0.7772;1;18_1.0;-1.31670917722964;-1
18cl01;2;13;0;0;2;orientation;1;NA;9.8106;9.2643;15.1941;340127.4945;340127.7968;1;1;0.3396;18;1;9.8106;NA;1;18_1.0;1.36232189800968;1
18cl01;2;14;0;0;1;motion;1;0.5794;NA;NA;NA;340130.3694;340130.725;1;1;0.356;18;1;NA;0.5794;1;18_1.0;2.26799868070293;1
18cl01;2;14;0;0;2;orientation;-1;NA;7.412;-8.9999;15.5379;340131.67;340131.9736;0;1;0.1945;18;1;-7.412;NA;1;18_1.0;-1.35710739775547;-1
18cl01;2;15;0;0;1;motion;1;0.8321;NA;NA;NA;340134.2598;340134.6113;1;1;0.3239;18;1;NA;0.8321;1;18_1.0;2.93573837972958;1
18cl01;2;15;0;0;2;orientation;1;NA;6.6019;5.7967;14.6236;340135.5254;340135.8276;1;1;0.4691;18;1;6.6019;NA;1;18_1.0;0.855671753355467;1
18cl01;2;16;0;0;1;motion;1;0.428;NA;NA;NA;340138.1129;340138.4638;1;1;0.297;18;1;NA;0.428;1;18_1.0;1.86793619383061;1
18cl01;2;16;0;0;2;orientation;1;NA;1.0059;0.0822;14.7689;340139.2863;340139.5899;0;0;0.1944;18;1;1.0059;NA;1;18_1.0;-0.0279303937710871;-1
18cl01;2;17;0;0;1;motion;-1;0.8677;NA;NA;NA;340142.1512;340142.5078;0;1;0.3315;18;1;NA;-0.8677;1;18_1.0;-1.55584824633099;-1
18cl01;2;17;0;0;2;orientation;-1;NA;1.8285;-3.1253;15.3802;340143.3825;340143.6848;1;0;0.5149;18;1;-1.8285;NA;1;18_1.0;-0.475478986661635;-1
18cl01;2;18;0;0;1;motion;1;0.6007;NA;NA;NA;340146.4462;340146.8035;1;1;0.3411;18;1;NA;0.6007;1;18_1.0;2.32428224061297;1
18cl01;2;18;0;0;2;orientation;1;NA;1.1705;1.7204;15.9972;340147.718;340148.0204;0;0;0.6268;18;1;1.1705;NA;1;18_1.0;-0.0019402376922753;-1
18cl01;2;19;0;0;1;motion;-1;0.4007;NA;NA;NA;340150.6324;340150.9866;0;1;0.4606;18;1;NA;-0.4007;1;18_1.0;-0.321837801354942;-1
18cl01;2;19;0;0;2;orientation;-1;NA;10.9888;-12.0273;15.226;340151.9906;340152.2927;0;1;0.563;18;1;-10.9888;NA;1;18_1.0;-1.92188012110112;-1
18cl01;2;20;0;0;1;motion;-1;0.6227;NA;NA;NA;340154.957;340155.3084;1;0;0.6517;18;1;NA;-0.6227;1;18_1.0;-0.90845518633285;-1
18cl01;2;20;0;0;2;orientation;-1;NA;2.0542;-2.6992;13.9999;340156.4701;340156.7727;0;1;0.2916;18;1;-2.0542;NA;1;18_1.0;-0.511116764468365;-1
18cl01;2;21;0;0;1;motion;1;0.9083;NA;NA;NA;340159.1228;340159.531;1;1;0.349;18;1;NA;0.9083;1;18_1.0;3.13709083349227;1
18cl01;2;21;0;0;2;orientation;-1;NA;6.9025;-7.8029;14.8575;340160.429;340160.7331;0;1;0.4262;18;1;-6.9025;NA;1;18_1.0;-1.27665791706194;-1
18cl01;2;22;0;0;1;motion;1;0.2254;NA;NA;NA;340163.5553;340163.9781;1;1;0.3183;18;1;NA;0.2254;1;18_1.0;1.33258176952194;1
18cl01;2;22;0;0;2;orientation;-1;NA;5.5062;-6.6467;15.0073;340164.8319;340165.1378;0;1;0.4867;18;1;-5.5062;NA;1;18_1.0;-1.05618370726337;-1
18cl01;2;23;0;0;1;motion;-1;0.6423;NA;NA;NA;340167.9942;340168.4144;1;0;0.4258;18;1;NA;-0.6423;1;18_1.0;-0.960246631132701;-1
18cl01;2;23;0;0;2;orientation;1;NA;3.4688;2.5554;13.4398;340169.3928;340169.6973;0;0;0.4548;18;1;3.4688;NA;1;18_1.0;0.360958764227124;1
18cl01;2;24;0;0;1;motion;-1;0.8316;NA;NA;NA;340172.518;340172.9309;1;0;0.5174;18;1;NA;-0.8316;1;18_1.0;-1.46045686075575;-1
18cl01;2;24;0;0;2;orientation;-1;NA;6.2166;-7.0107;14.8059;340174.001;340174.3081;0;1;0.3231;18;1;-6.2166;NA;1;18_1.0;-1.16835507347472;-1
18cl01;2;25;0;0;1;motion;-1;0.7832;NA;NA;NA;340177.062;340177.4807;0;1;0.3985;18;1;NA;-0.7832;1;18_1.0;-1.33256370114796;-1
18cl01;2;25;0;0;2;orientation;-1;NA;11.792;-14.2401;13.3954;340178.43;340178.7345;0;1;0.4252;18;1;-11.792;NA;1;18_1.0;-2.04870450361936;-1
18cl01;2;26;0;0;1;motion;1;0.0359;NA;NA;NA;340181.567;340181.9799;1;1;0.4444;18;1;NA;0.0359;1;18_1.0;0.831843055768277;1
18cl01;2;26;0;0;2;orientation;1;NA;10.622;13.706;14.0673;340182.9918;340183.2961;1;1;0.3271;18;1;10.622;NA;1;18_1.0;1.49044105136538;1
