subject,task,session,file,condition,n_trials
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,left,79
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,right,71
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,correct_left,66
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,correct_right,61
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,error_left,13
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,error_right,10
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,correct,99
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,error,51
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,left,110
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,right,40
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,correct_left,65
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,correct_right,34
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,error_left,45
sub27,task1,4,clean_epochs_task1_ICA_sub27_lyj1_sess2-epo.fif,error_right,6
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,correct,122
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,error,28
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,left,68
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,right,82
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,correct_left,59
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,correct_right,63
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,error_left,9
sub28,task1,1,clean_epochs_task1_ICA_sub28_hbf1_sess1-epo.fif,error_right,19
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,correct,134
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,error,16
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,left,90
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,right,60
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,correct_left,79
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,correct_right,55
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,error_left,11
sub28,task1,2,clean_epochs_task1_ICA_sub28_hbf1_sess2-epo.fif,error_right,5
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,correct,253
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,error,47
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,left,135
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,right,165
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,correct_left,119
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,correct_right,134
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,error_left,16
sub28,task1,3,clean_epochs_task1_ICA_sub28_hbf1_sess3-epo.fif,error_right,31
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,correct,209
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,error,91
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,left,193
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,right,107
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,correct_left,128
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,correct_right,81
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,error_left,65
