subject,task,id_sess,file,condition,n_trials
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_left,0
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_right,124
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_left,1
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_right,25
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct,239
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error,61
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,left,21
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,right,279
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_left,8
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_right,231
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_left,13
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_right,48
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct,262
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error,38
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,left,15
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,right,285
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_left,10
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_right,252
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_left,5
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_right,33
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct,277
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error,23
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,left,16
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,right,284
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_left,10
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_right,267
