"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "seq" "acc.stat" "acc.p.value"
"sub2" -28.6527578915391 2 61.3055157830783 0.367879441171444 NA 0 -2.86600920974616 NA 0.266879031920296 "6_02" 2 0.426136363636364 0.256945445628857
"metanoise" -33.202426458143 1 68.404852916286 0.0105707072887471 NA NA NA 0.1 0.00766854521402548 "6_02" 2 0.426136363636364 0.256945445628857
"bayes" -267.234040514359 0 534.468081028717 2.61690273245152e-13 NA NA NA NA 1.39012278569042e-13 "6_03" 3 18.5197887372248 8.40746930925399e-06
"sub1" -238.749436605142 1 479.498873210284 0.226047337331196 -0.42808925480306 NA NA NA 0.120078423386554 "6_03" 3 18.5197887372248 8.40746930925399e-06
"sub2" -236.683334192718 2 477.366668385435 0.656450208489147 NA 0.574145057385714 -0.620848683303172 NA 0.348712384750011 "6_03" 3 18.5197887372248 8.40746930925399e-06
"metanoise" -237.262425760717 1 476.524851521433 1 NA NA NA 2.63210937436025 0.531209191863295 "6_03" 3 18.5197887372248 8.40746930925399e-06
"bayes" -126.467860593628 0 252.935721187257 0.235408461902478 NA NA NA NA 0.12584503372331 "7_02" 2 19.2683177474052 5.67877170799226e-06
"sub1" -126.578254780968 1 255.156509561936 0.0775503927240564 -0.66871133563407 NA NA NA 0.0414570135191561 "7_02" 2 19.2683177474052 5.67877170799226e-06
"sub2" -123.021427455736 2 250.042854911472 1 NA 0.914459743838741 -1.84964816555016 NA 0.534581606397152 "7_02" 2 19.2683177474052 5.67877170799226e-06
"metanoise" -124.60542801822 1 251.210856036441 0.557662932642889 NA NA NA 1.45399807744793 0.298116346360382 "7_02" 2 19.2683177474052 5.67877170799226e-06
"bayes" -180.54911215747 0 361.098224314939 5.24994271091773e-05 NA NA NA NA 4.00137996530716e-05 "7_03" 3 6.9920764531543 0.00409356601203164
"sub1" -170.958983661278 1 343.917967322557 0.282357916759476 -1.14977982612383 NA NA NA 0.215206407646634 "7_03" 3 6.9920764531543 0.00409356601203164
"sub2" -168.694403856837 2 341.388807713675 1 NA 0.409395018282158 -1.90391014774499 NA 0.762175929460322 "7_03" 3 6.9920764531543 0.00409356601203164
"metanoise" -173.213620825684 1 348.427241651369 0.0296226215243741 NA NA NA 0.595456091198135 0.0225776490933912 "7_03" 3 6.9920764531543 0.00409356601203164
"bayes" -107.433890789473 0 214.867781578945 0.000138742048767426 NA NA NA NA 9.30060945240795e-05 "8_01" 1 27.8857369766461 6.43474759858965e-08
"sub1" -102.219924992073 1 206.439849984146 0.00938231902452356 -0.486932772600733 NA NA NA 0.00628946204702996 "8_01" 1 27.8857369766461 6.43474759858965e-08
"sub2" -97.2803283558106 2 198.560656711621 0.48223116739498 NA 0.804237873195132 -0.905159629441693 NA 0.32326492174249 "8_01" 1 27.8857369766461 6.43474759858965e-08
"metanoise" -97.5509966763121 1 197.101993352624 1 NA NA NA 2.21397464432989 0.670352610115956 "8_01" 1 27.8857369766461 6.43474759858965e-08
"bayes" -122.837533252973 0 245.675066505945 1 NA NA NA NA 0.644149577275183 "8_02" 2 20.6019047619048 2.82699162908275e-06
"sub1" -130.246255049199 1 262.492510098399 0.00022291460518641 -0.842455299239295 NA NA NA 0.00014359034869929 "8_02" 2 20.6019047619048 2.82699162908275e-06
"sub2" -122.684603636162 2 249.369207272324 0.157698486374888 NA 0.67795006323298 -1.88989856119163 NA 0.10158141333532 "8_02" 2 20.6019047619048 2.82699162908275e-06
"metanoise" -122.767636294055 1 247.53527258811 0.394513057224648 NA NA NA 0.944162550050616 0.254125419040797 "8_02" 2 20.6019047619048 2.82699162908275e-06
"bayes" -171.136968145077 0 342.273936290153 6.60456734322419e-07 NA NA NA NA 2.91880113765692e-07 "8_03" 3 8.75926906779661 0.00154016238553299
