subject,task,session,file,condition,n_trials
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_left,13
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_right,24
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,correct,244
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,error,56
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,left,18
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,right,282
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,correct_left,10
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,correct_right,234
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,error_left,8
sub24,task2,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif,error_right,48
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct,239
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error,61
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,left,21
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,right,279
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_left,8
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_right,231
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_left,13
sub25,task2,3,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_right,48
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct,262
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error,38
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,left,15
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,right,285
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_left,10
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_right,252
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_left,5
sub25,task2,4,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_right,33
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,correct,119
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,error,31
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,left,69
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,right,81
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,correct_left,62
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,correct_right,57
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,error_left,7
sub25,task2,1,clean_epochs_task2_ICA_sub25_cjb1_sess1-epo.fif,error_right,24
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,correct,142
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,error,8
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,left,70
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,right,80
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,correct_left,67
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,correct_right,75
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,error_left,3
sub25,task2,2,clean_epochs_task2_ICA_sub25_cjb1_sess2-epo.fif,error_right,5
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct,277
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error,23
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,left,16
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,right,284
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_left,10
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_right,267
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error_left,6
sub26,task2,3,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error_right,17
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct,288
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error,12
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,left,25
